Reference, Quantity, Value, Footprint, Datasheet, Mouser Part Number
U11 ,1,"iCE40-HX8K-CT256","c1cada11:Lattice_Semiconductor-ICE40HX8K-CT256-Manufacturer_Recommended","","842-ICE40HX8K-CT256 "
U12 U13 ,2,"IS61C5128AL-10KLI","Package_SO:SOJ-36_10.16x23.49mm_P1.27mm","http://www.issi.com/WW/pdf/61-64C5128AL.pdf","870-61C5128AL-10KLI"
U2 ,1,"AP9101CK","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP9101C.pdf","621-AP9101CK-AHTRG1"
U3 ,1,"MCP73871-2AA","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf","579-MCP73871-2AAI/ML"
U4 ,1,"W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","454-W25Q128JVSIM"
U5 ,1,"TPS61130RSA","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm","","595-TPS61130RSAR "
U6 ,1,"MIC5504-2.5YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf","998-MIC5504-2.5YM5TR"
U8 U7 ,2,"MIC2860-2D","Package_TO_SOT_SMD:SOT-23-6","","998-MIC2860-2DYD6TR"
U9 ,1,"LM49450","c1cada11:QFN-32_EP_5.4x5.4_Pitch0.5mm","","926-LM49450SQ/NOPB"
Y1 ,1,"CM7T1A 32.768kHz","c1cada11:CM7V-T1A","~","CM7V-T1A-32.768kHz-7pF-20PPM-TA-QC"
